Lake,Timepoint,Time,Depth,DO,Temperature,Light,pH,Conductivity,Chlorophyll,Phycocyanin,Production
Sparkling,36,17,8,9.25,19.25,,7.38,128.1,2.38,0.06,13.25
Sparkling,36,17,9,8.49,8.49,,7.65,127.7,2.38,0.06,13.25
Sparkling,36,17,10,7.01,7.01,,7.11,127.5,2.38,0.06,13.25
Sparkling,40,21,0,9.04,23.33,110,7.54,131.2,1.78,0.02,-13.75
Sparkling,40,21,1,9.09,23.38,55,7.56,131.3,1.78,0.02,-13.75
Sparkling,40,21,2,9.1,23.36,50,7.6,131.8,1.78,0.02,-13.75
Sparkling,40,21,3,9.18,23.26,60,7.62,131.6,1.78,0.02,-13.75
Sparkling,40,21,4,9.7,21.08,64,7.65,131.2,1.78,0.02,-13.75
Sparkling,40,21,5,11.36,14.51,180,7.67,129.8,1.78,0.02,-13.75
Sparkling,40,21,6,13.13,11.49,150,7.64,128.1,1.78,0.02,-13.75
Sparkling,40,21,7,13.46,10.05,85,7.57,128.2,1.78,0.02,-13.75
Sparkling,40,21,8,13.44,8.59,,7.42,128,1.78,0.02,-13.75
Sparkling,40,21,9,13.56,7.69,,7.34,128,1.78,0.02,-13.75
Sparkling,40,21,10,13.11,7.44,,7.22,127.7,1.78,0.02,-13.75
TroutBog,0,5,0,7.88,21.77,115,4.93,19.5,9.88,0.52,16.33333333
TroutBog,0,5,1,0.23,18.44,115,4.05,32.1,9.88,0.52,16.33333333
TroutBog,0,5,2,0.25,10.32,115,4.01,26,9.88,0.52,16.33333333
TroutBog,0,5,3,0.27,6.49,115,4.02,21.9,9.88,0.52,16.33333333
TroutBog,0,5,4,0.24,6,115,3.96,22.3,9.88,0.52,16.33333333
TroutBog,0,5,5,0.21,4.56,,3.96,23.7,9.88,0.52,16.33333333
TroutBog,0,5,6,0.21,4.25,,4.01,26.5,9.88,0.52,16.33333333
TroutBog,0,5,7,0.2,4.4,,4.22,36.8,9.88,0.52,16.33333333
TroutBog,4,9,0,7.95,21.85,3000,4.18,19.6,30.69,7.19,8.547486034
TroutBog,4,9,1,1.7,17.7,137,3.86,37.7,30.69,7.19,8.547486034
TroutBog,4,9,2,0.38,9.04,118,3.94,23.6,30.69,7.19,8.547486034
TroutBog,4,9,3,0.23,5.13,105,3.92,21.9,30.69,7.19,8.547486034
TroutBog,4,9,4,0.21,4.52,,3.87,23,30.69,7.19,8.547486034
TroutBog,4,9,5,0.21,4.77,,3.99,24.1,30.69,7.19,8.547486034
TroutBog,4,9,6,0.21,4.26,,4.07,27.6,30.69,7.19,8.547486034
